cluster_abbrev,for_code,for_title
HCA,2101,Archaeology
HCA,2102,Curatorial and Related Studies
HCA,2103,Historical Studies
HCA,2199,Other History and Archaeology
HCA,22,Philosophy and Religious Studies
HCA,2201,Applied Ethics
HCA,2202,History and Philosophy of Specific Fields
HCA,2203,Philosophy
HCA,2204,Religion and Religious Studies
HCA,2299,Other Philosophy and Religious Studies
